value;area;urban;gender
711;Кемеровская область;Сельское население;Оба пола
407;Кемеровская область;Сельское население;Мужчины
304;Кемеровская область;Сельское население;Женщины
2196;Новосибирская область;Городское и сельское население;Оба пола
1227;Новосибирская область;Городское и сельское население;Мужчины
969;Новосибирская область;Городское и сельское население;Женщины
1221;Новосибирская область;Городское население;Оба пола
641;Новосибирская область;Городское население;Мужчины
580;Новосибирская область;Городское население;Женщины
975;Новосибирская область;Сельское население;Оба пола
586;Новосибирская область;Сельское население;Мужчины
389;Новосибирская область;Сельское население;Женщины
2355;Омская область;Городское и сельское население;Оба пола
1326;Омская область;Городское и сельское население;Мужчины
1029;Омская область;Городское и сельское население;Женщины
1293;Омская область;Городское население;Оба пола
729;Омская область;Городское население;Мужчины
564;Омская область;Городское население;Женщины
1062;Омская область;Сельское население;Оба пола
597;Омская область;Сельское население;Мужчины
465;Омская область;Сельское население;Женщины
1505;Томская область;Городское и сельское население;Оба пола
840;Томская область;Городское и сельское население;Мужчины
665;Томская область;Городское и сельское население;Женщины
691;Томская область;Городское население;Оба пола
376;Томская область;Городское население;Мужчины
315;Томская область;Городское население;Женщины
814;Томская область;Сельское население;Оба пола
464;Томская область;Сельское население;Мужчины
350;Томская область;Сельское население;Женщины
10068;Дальневосточный федеральный округ;Городское и сельское население;Оба пола
5480;Дальневосточный федеральный округ;Городское и сельское население;Мужчины
4588;Дальневосточный федеральный округ;Городское и сельское население;Женщины
5473;Дальневосточный федеральный округ;Городское население;Оба пола
2952;Дальневосточный федеральный округ;Городское население;Мужчины
2521;Дальневосточный федеральный округ;Городское население;Женщины
4595;Дальневосточный федеральный округ;Сельское население;Оба пола
2528;Дальневосточный федеральный округ;Сельское население;Мужчины
2067;Дальневосточный федеральный округ;Сельское население;Женщины
1137;Республика Саха (Якутия);Городское и сельское население;Оба пола
675;Республика Саха (Якутия);Городское и сельское население;Мужчины
462;Республика Саха (Якутия);Городское и сельское население;Женщины
576;Республика Саха (Якутия);Городское население;Оба пола
319;Республика Саха (Якутия);Городское население;Мужчины
257;Республика Саха (Якутия);Городское население;Женщины
561;Республика Саха (Якутия);Сельское население;Оба пола
356;Республика Саха (Якутия);Сельское население;Мужчины
205;Республика Саха (Якутия);Сельское население;Женщины
858;Камчатский край ;Городское и сельское население;Оба пола
519;Камчатский край ;Городское и сельское население;Мужчины
339;Камчатский край ;Городское и сельское население;Женщины
434;Камчатский край ;Городское население;Оба пола
252;Камчатский край ;Городское население;Мужчины
182;Камчатский край ;Городское население;Женщины
424;Камчатский край ;Сельское население;Оба пола
267;Камчатский край ;Сельское население;Мужчины
157;Камчатский край ;Сельское население;Женщины
2318;Приморский край;Городское и сельское население;Оба пола
1128;Приморский край;Городское и сельское население;Мужчины
1190;Приморский край;Городское и сельское население;Женщины
1132;Приморский край;Городское население;Оба пола
540;Приморский край;Городское население;Мужчины
592;Приморский край;Городское население;Женщины
1186;Приморский край;Сельское население;Оба пола
588;Приморский край;Сельское население;Мужчины
598;Приморский край;Сельское население;Женщины
2243;Хабаровский край;Городское и сельское население;Оба пола
1199;Хабаровский край;Городское и сельское население;Мужчины
1044;Хабаровский край;Городское и сельское население;Женщины
1387;Хабаровский край;Городское население;Оба пола
714;Хабаровский край;Городское население;Мужчины
673;Хабаровский край;Городское население;Женщины
856;Хабаровский край;Сельское население;Оба пола
485;Хабаровский край;Сельское население;Мужчины
371;Хабаровский край;Сельское население;Женщины
1103;Амурская область;Городское и сельское население;Оба пола
638;Амурская область;Городское и сельское население;Мужчины
465;Амурская область;Городское и сельское население;Женщины
663;Амурская область;Городское население;Оба пола
396;Амурская область;Городское население;Мужчины
267;Амурская область;Городское население;Женщины
440;Амурская область;Сельское население;Оба пола
242;Амурская область;Сельское население;Мужчины
198;Амурская область;Сельское население;Женщины
431;Магаданская область;Городское и сельское население;Оба пола
241;Магаданская область;Городское и сельское население;Мужчины
190;Магаданская область;Городское и сельское население;Женщины
384;Магаданская область;Городское население;Оба пола
213;Магаданская область;Городское население;Мужчины
171;Магаданская область;Городское население;Женщины
47;Магаданская область;Сельское население;Оба пола
28;Магаданская область;Сельское население;Мужчины
19;Магаданская область;Сельское население;Женщины
1150;Сахалинская область;Городское и сельское население;Оба пола
628;Сахалинская область;Городское и сельское население;Мужчины
522;Сахалинская область;Городское и сельское население;Женщины
507;Сахалинская область;Городское население;Оба пола
298;Сахалинская область;Городское население;Мужчины
209;Сахалинская область;Городское население;Женщины
643;Сахалинская область;Сельское население;Оба пола
330;Сахалинская область;Сельское население;Мужчины
313;Сахалинская область;Сельское население;Женщины
582;Еврейская автономная область;Городское и сельское население;Оба пола
316;Еврейская автономная область;Городское и сельское население;Мужчины
266;Еврейская автономная область;Городское и сельское население;Женщины
296;Еврейская автономная область;Городское население;Оба пола
168;Еврейская автономная область;Городское население;Мужчины
128;Еврейская автономная область;Городское население;Женщины
286;Еврейская автономная область;Сельское население;Оба пола
148;Еврейская автономная область;Сельское население;Мужчины
138;Еврейская автономная область;Сельское население;Женщины
246;Чукотский автономный округ;Городское и сельское население;Оба пола
136;Чукотский автономный округ;Городское и сельское население;Мужчины
110;Чукотский автономный округ;Городское и сельское население;Женщины
94;Чукотский автономный округ;Городское население;Оба пола
52;Чукотский автономный округ;Городское население;Мужчины
42;Чукотский автономный округ;Городское население;Женщины
152;Чукотский автономный округ;Сельское население;Оба пола
84;Чукотский автономный округ;Сельское население;Мужчины
68;Чукотский автономный округ;Сельское население;Женщины
